;.IMGTYPES

;
; This file is used by GPSMapEdit to provide localized names for Garmin type set.
; (c) Translated to Russian by Konstantin Galichsky
;

;.TYPESET Garmin

; The Language ID for Russian defined by Microsoft
;
;.LANGID 0x419

; The Code Page ID for Cyrillics defined by Microsoft
;
;.CODEPAGE 1251

;========================================================================================

; Placeholder for unknown type
;
;.UNKNOWN  Тип не опредёлен

;========================================================================================

.POI

0x4e00	Туалет
0x4f00	Душ
0x5000	Питьевая вода
0x5100	Телефон
0x5200	Красивый вид
0x5300	Лыжная база
0x5400	Место для купания
0x5500	Дамба, плотина

; Aviation
0x5600	Контролируемая зона
0x5700	Опасная зона
0x5800	Зона ограниченного доступа
0x5900	Аэропорт
0x5901	Крупный аэропорт
0x5902	Средний аэропорт
0x5903	Малый аэропорт
0x5904	Вертолетная площадка
0x5905	Аэропорт

0x5a00	Километровый столб
0x5b00	Колокол
0x5c00	Место для дайвинга
0x5d00	Дневной знак (зёленый квадрат)
0x5e00	Дневной знак (красный треугольник)
0x6000	Сирена
0x6100	Дом

0x6200	Отметка глубины
0x6300	Отметка высоты

; Man-made features
0x6400	Искусственное сооружение
0x6401	Мост
0x6402	Здание
0x6403	Кладбище
0x6404	Храм/Мечеть/Синагога
0x6405	Общественное здание
0x6406	Перекресток, переправа, перевал
0x6407	Плотина
0x6408	Больница
0x6409	Плотина, набережная
0x640a	Указатель
0x640b	Военный объект
0x640c	Шахта, рудник
0x640d	Месторождение нефти
0x640e	Парк
0x640f	Почта
0x6410	Школа
0x6411	Башня, вышка
0x6412	Начало тропы
0x6413	Начало/окончание тоннеля
0x6414	Питьевая вода, родник, колодец
0x6415	Заброшенное жилье
0x6416	Пристройка

; Water features
0x6500	Объект гидрографии
0x6501	Арройо, высохшее русло
0x6502	Песчаная отмель
0x6503	Залив
0x6504	Излучина реки
0x6505	Искусственный канал
0x6506	Пролив
0x6507	Бухта
0x6508	Водопад
0x6509	Гейзер
0x650a	Ледник
0x650b	Гавань
0x650c	Остров
0x650d	Озеро
0x650e	Пороги
0x650f	Водохранилище
0x6510	Море
0x6511	Родник
0x6512	Ручей
0x6513	Болото

; Land features
0x6600	Природный наземный объект
0x6601	Арка
0x6602	Район, область
0x6603	Котловина
0x6604	Берег
0x6605	Карниз, уступ
0x6606	Мыс
0x6607	Утес
0x6608	Кратер
0x6609	Плато
0x660a	Лес
0x660b	Ущелье, пропасть
0x660c	Узкий проход
0x660d	Перешеек
0x660e	Лава
0x660f	Столб, колонна
0x6610	Равнина
0x6611	Гряда
0x6612	Заповедник
0x6613	Хребет
0x6614	Скала
0x6615	Склон
0x6616	Вершина холма или горы
